Place Name	Primary Description – Usually helps find location	Secondary Description – Often notes, sometiems helps find location	Dates
Te Ahiaruhe	Mr. Northwood’s Sheep’s Station	Bagnall and Petersen (p. 218) show this locality (Ahieruhe) close to the site of Carterton. There is a trig point and stream of this name on the south bank of the Ruamahanga River east of the Kokotau Road Bridge	4-5 Apr 45; 19 Mar, 18 Sep 46; 12-13 Apr, 10 Nov 47; 29 May, 16 Nov 48; 29 Apr 51
Te Ahikereru		Arrowsmith’s 1850 map shows Te Ahikereru on the west bank of the Whirinaki, slightly upstream from the junction with the Okahu stream, Bay of Plenty	30 Dec 43; 1, 5 Jan 44
Ahuriri	Hawke’s Bay	Originally the entrance to the lagoon, then the lagoon itself and used by Colenso as the name of the district, sometimes including the whole of the Heretaunga Plains	
Akitio		About 15 miles south by coast from Cape Turnagain	1-4 Dec 43; 15-16 Apr, 28-29 Nov 45; 19 Feb, 28 Aug 46; 18-19 May, 11 Oct 47; 6-8 Jun, 31 Oct 48; 2-4 May 49; 9 Mar 50; 3-4 Apr 51; 21-22 Apr 52
Anaura		On Anaura Bay, East coast	4-6 Dec 41; 27 Oct 43
Aotahi	(Wairua River, Whangarei) Te Aotahi was close to the Wesleyan Mission Station at Tangiteroria on the Wairoa River		23-24 Feb 36
Aotea	(Barrier Island) Great Barrier in the Hauraki Gulf		13 Oct 43
Te Apiti	nearly opposite Bare Island; on coast S. of Bare Island; c. 8 miles S. of Bare Island	Te Apiti Stream reaches the coast due east of Elsthorpe and about two miles north of Kairakau	11-12 Feb 46
Te Apiti	Banks of (Pahawa) River	This name occurs in the list of June 1850, item 2430 No such name is now marked on the Pahaoa River, but a homestead occurs on the Kaiwhata River, some four miles in a direct line from the Pahaoa headwaters	
Apungaotekura		Near Hallett’s Bay on the east side of Lake Taupo. This place is mentioned in In Memoriam (p. 37) but does not appear in the Journal	16 Feb 47
Arai (1)		A sleeping place, a half hour’s walk from the following	29-30 Mar, 1-2 Apr 39
Arai (2)	a rocky headland	Presumably Te Arai, the 53 foot high feature south of The Bluff, Ninety Mile Beach	30 Mar 39
Arawata lake		From Colenso’s description and route, this would be one of the Lake Half – Swan Lake group near Ninety Mile Beach	2 Apr 39
Araẁata		The Arawhata Stream forms a conspicuous shingle fan on the coast about three miles south of Flat Point, Wairarapa coast	14 Apr 52
Te ari aẁai		Alternative name for Tuparoa	20-21 Jan 38
Te Ariuru	A large village in Tokomaru Bay		
Tokomaru Bay	(Bagnall and Petersen p.109)	Porter’s map (p. 621) marks Te Ariuru too far north	2-4 Dec 41; 27 Oct 43
Aropaki		Arrowsmith’s 1850 map shows Aropaki on the west bank of the Whakatane River, opposite Warau hill. This corresponds to a position opposite the Mangatawhero stream mouth	13-15 Jan 44
Aropauanui	Hawkes Bay	Near the mouth of the Aropaoanui River, north of Tangoio. Arapawanui is an old spelling	13 Dec 43; 7-8 Jul, 9 Dec 46; 16-18 Jun, 30-31 Aug 47; 11-12 Feb 48; 13 Nov 51; 30 Jan 52
Te Atuaomaharu	topmost crag of Ruahine; Teatuaomahura The highest peak (5028 feet) of the northern Ruahine Mountains		26 Feb 47; 28 Oct 51
Auckland			Jan (May?), 5-10 Oct 43; 15-22 Dec 44
Te Aute		About 8 miles north of Waipawa on the Napier/Wellington highway and railway, and about two miles west of Roto a kiwa Lake	27 Feb, 13 Mar, 10-13 Jul 52
Te Awaiti		At the south of the Oterei River (Bagnall & Petersen, p.219n), Wairarapa coast	27 Feb 46; 19-20 Oct 47; 24-25 Apr, 7 Nov 48; 14-15 Apr 51; 8-10 Apr 52
Te Awanga		Near the mouth of the Maraetotara Stream between Cape Kidnappers and the Tukituki River, Hawke’s Bay. 9 Dec 43; 29-30 Nov 50. Te Awaateatua. Buchanan (p. 133) notes a ford on the Ngaruroro River called Te Awaoteatua downstream from Fernhill	8-9 Jul 52
Awanui River	near Te Kawakawa, East Cape (list of 30 July 1844)	Possibly an error for Awatere (q.v.), the river on which Te Kawakawa (modern Te Araroa) was situated - It does not appear to be associated with Port Awanui, a few miles down the coast from the mouth of the Waiapu River	
Te Awa o te atua		The old name for the lower reaches of the Tarawera River, reaching the sea at Matata, Bay of Plenty	23 Jan 44
Te Awapuni		On the Waitangi River only a short distance from Colenso’s Mission Station in Hawke’s Bay	9-12 Dec 43
Awaroa		Awaroa Creek, Whangarei Harbour	4 Oct 41
Te Awarua	W. side of Ruahine range	Awarua is on the east bank of the Rangitikei River, at the foot of the Mokai Patea ridge from the Ruahine Range. The visit in 1847 is not mentioned in the Journal but is recorded in In Memoriam (p. 49)	(24 Feb 47), 1-3, 6-7 Jan, 12-13 Dec 48; 22-23 Nov 49; 25-27 Oct 51; 23-24 Feb 52
Awatere River		Flows into Kawakawa Bay, East Cape	Mentioned in the list of 30 July 1844
Awatoto	Te Awatootoo	On the coast of Hawke’s Bay, south of Napier	Colenso must have passed it on many occasions but it is mentioned in the Journal only on 3-4 July 52
Aẁea	East Coast	North of Cape Palliser, at the mouth of the Awhea River, a few miles south of Te Awaiti	
Aẁeanui	E. Coast	Probably to be equated with the Awhea River area	
Bare Island	E. Coast, a glen opposite	One mile offshore and about 15 miles south of Cape Kidnappers	
Baridy Bay		Baridy Bay is shown on Arrowsmith’s 1841 map as being the bay immediately south of Flat Point, Wairarapa coast. The name is possibly a corruption of Pararata, the name of a stream entering the Bay. Colenso, in the list of July 1846, puts the name in quotation marks	
Bay of Islands		1835-1844	
Bethany		Petane	
Cape Kidnapper (Cape K.) (C.K.)		Cape Kidnappers is the promontory at the southern end of Hawke Bay	4, 26 May 46; 30 Jul-1Aug 50
Cape Palliser		The southernmost point of the North Island and the eastern boundary of Palliser Bay	19 Mar, 21 Nov 45; 10-11 Sep 46; 4 May 47; 26-27 Apr, 8-9 Nov 48; 7 Apr 52
Cape Reinga		One of the promontories of the North Cape complex	31 Mar 39
Deliverance Cove	Castle Point		15 Nov 43; 14 Mar 45; 1 Nov 48
East Coast		The coast from Cape Kidnappers to Cape Palliser. As an aid to identification, localities occurring from Castle Point southward have been referred to as being on the Wairarapa Coast	15 Nov-8 Dec 43; 1-19 Mar, 10-21 Apr, 20-29 Oct, 23 Nov-4 Dec 45; 10 Feb-1 Mar,18 Aug-10 Sep 46; 4-28 May, 1-21 Oct 47; 20-26 Apr, 31 May-16 Jun, 25 Oct-8 Nov 48; 24 Apr-15 May 49; 2-18 Mar 50; 22 Mar-17 Apr 51; 7 Apr-6 May 52
East Cape			Jan 38; Nov 41; Oct 43
Eparaima	a village in the interior, 10 miles from Porangahau (item 3736, list of June 1850)	Bagnall and Petersen (p. 206) show Eparaima WNW of Wallingford which would place it between the Tutira and Whangai Ranges, and about 20 miles from Porangahau. The present Eparaima trig is about 3 miles north of Wallingford and well to the east of the position shown by Bagnall and Petersen	24-25 Nov 47; 21-22 Nov 50
Gable End Foreland		The prominent headland north of Poverty Bay	25 Jan 38; 9 Dec 41
Haruru		At the head of the tidal flats on the Waitangi River, Bay of Islands	26 May 39
Haukawakawa river	Whangarei district; six miles northwest from Whangarei; Haukawakawa BayNot located precisely	No stream is now so named	18-19 Feb 36; Oct 43
Haumi		The Haumi River flows into Veronica Channel south of Paihia, Bay of Islands	13 Apr 36
Te Hautotara		Te Hautotara was east of Dannevirke, at the Mangatera-Manawatu Junction. (Bagnall & Petersen, p.233n)	2-6 Apr, 30 Sep-2 Oct 46; 27-29 Mar, 22-23 Nov 47; 30-31 Mar 48; 9-10 Apr 50
Te Hawera		Modern Hamua, on the Woodville-Masterton highway, north of Ekatahuna. The name Hawera is still preserved in the district	27-30 Mar 46; 3-6 Apr, 16-18 Nov 47; 5-10 Apr, 21-23 Nov 48; 17-21 Mar 49; 3-5 Apr 50; 14-16 May 51; 23-24 Mar 52
Hawkes Bay		Used by Colenso to indicate the bay itself and the district bordering the bay	
Te Heiotepooro	Bleak crags, W. side (of Ruahine) (list of 31 January 1853)	Not located: appears only in the plant lists	
Te Hekawa		Between Hick’s Bay and East Cape, east of modern Te Araroa	16-17 Jan 43; 25 Nov 41
Herehere stream (Herehere plains)	The Herehere Stream flows northwards through Havelock North to join the Karamu Creek		16-17 Jan 52 Also mentioned in the lists of September 1847 and 31 January 1853
Hereheretaunga	The landing place at the further extremity of the Lake (Waikaremoana)	Presumably on Whanganui Inlet. Bagnall & Petersen (p 170) spell Hereheretaua, but I have not found any other references	
Herekino		The northernmost of the harbours on Northland’s west coast	25 Mar 39
Herepunga		Arrowsmith’s 1850 map shows Herepunga on the right bank of the Waikaretaheke River, in northern Hawke’s Bay	18 Dec 43
Heretaunga		The plains on the lower reaches of the Tutaekuri, Ngaruroro and Tukituki Rivers; also called Ahuriri plains by Colenso	
Heretaunga river		The Hutt River, flowing into the northern end of Wellington Harbour	4 Nov 47; 18 May 48
Hick’s Bay	East Cape		16 Jan 38; 22-25 December 41; 19-20 & 23-24 Oct 43
Hikurangi	a high mountain capped with snow near the E. Cape	Mount Hikurangi, Raukumara Range	Not visited by Colenso, but an unnamed Māori was sent to bring back plants which are in the list of 30 July 1844
Te Hinau		On the E. bank of the Ẁirinaki River, in the Te Ẁaiiti District, in the interior. Not noted by Best (1925) nor marked on Arrowsmith’s 1850 map, but clearly on the lower reaches of the Whirinaki near the junction with the Rangitaiki?	4 Jan 44
Te Hinau		Occurs on the ticket of Rumex flexuosus 4437, dated 16 Dec 51. The entry in the list of 31 January 1853 reads: Rumex, growing with 4426; … (gravely shores), nr. Ahuriri. This may be Te Hinu, the pa on the Tukituki River of Buchanan (p 136)	
Hinemaia river		The Hinemaiaia Stream flows into the eastern shores of Lake Taupo at Hatepe	16 Feb 47
Hinemokai village	On Waiau River, Hawke’s Bay	Arrowsmith’s 1850 map and Bagnall & Petersen (p. 66) show Hinemokai at the junction of the Waikaretaheke and Wairoa Rivers	18 Dec 43
Hinuera valley		The present Hinuera is on the Rotorua branch railway between Matamata and Tirau	21 Jan 42
Hinukuku		One of the nearest villages of the Waiomio valley, Bay of Islands but not now traceable	Twenty identified visits between September 1836 and February 1840
Hobson’s Harbour	Aotea	(Great Barrier Island). Hobson’s Harbour no longer appears, but is probably an earlier unofficial name for Port Fitzroy	13 Oct 43
Honurora		A large village on the seashore at the mouth of the Uawa River, Tolago Bay	7-9 Dec 41
Hopekoko	A small stream…	Not identified. No streams of this name are now to be found between Parikanapa and Hangaroa River in Northern Hawke’s Bay	21 Dec 41
Horahora	near NgunguruThe Horahora River enters the sea at Ngunguru Bay, a short distance south of the mouth of the Ngunguru River		17 Feb 42
Horoera	A pa halfway between Te Hekawa and Poureatua, East Cape	Horoera marae is on the hillside above Horoera Point, to the west of East Cape	25 Nov 41
Hororoa	about 3½ miles up the (Kawakawa) river	Not now known	Ten visits noted between February 1835 and May 1840
Horotutu	Bay of Islands	… the next beach along from Paihia towards the Waitangi River. (Porter 111, n. 83) appears on a specimen of Nephrodium thelypteris in the bound volume of ferns at WELT	
Houhora Harbour		A tidal inlet at the southern end of Great Exhibition Bay on the east coast of the Northland Peninsula. Mt Camel forms the eastern headland	2 Apr 39
Huaangarua		This was on the site of Martinborough in Wairarapa (Bagnall & Petersen p.219n). The Huangarua River joins the Ruamahanga just north of the town	4 Apr, 4-5 Nov 45; 18-19 Mar, 17-18 Sep 46; 13-14 Mar, 8-10 Nov 47; 14, 16-19 May, 15-16 Nov 48; 27-29 Mar, 19-23 Apr 49; 20-26 Mar 50; 23-29 Apr 51; 30-31 Mar 52
Huariki village	nr. Cape Palliser	Bagnall and Petersen (p. 219n) give the position as one mile north of Te Awaiti on the Wairarapa Coast	18-19 Mar, 22 Nov 45; 27 Feb, 9 Sep 46; 6 May 47
Te Huiakama	A pa about a musket shot from Kaupapa (Turanga or Poverty Bay)	Curiously, Williams (Porter 1974) does not mention a pa of this name	15 Dec 41
Huiarau Range		The range of hills to the west and northwest of Lake Waikaremoana	30 Dec 41-1 Jan 42; (28 Dec 43)
Te Humenga	Palliser Bay	Te Humenga Point, the headland on the east side of Palliser Bay	
Hurunuiorangi	Wairarapa valley	Bagnall and Petersen (p. 218) show Hurunuiorangi on the west bank of the Ruamahanga River almost opposite the confluence with the Tauweru River, near Carterton. A pa still occupies this position	19-20 Mar, 18-19 Sep 46; 10 Nov 47; 18 Apr, 29-30 May 48; 26-27 Mar 50; 29-30 Apr 51
Hutt Valley (valley of the Hutt)	The Hutt River flows into the northern end of Wel1ington Harbour	In addition to his numerous visits to Petone (Pitoone) at the southern end, Colenso twice travelled the length of the valley to reach the Wairarapa	4 Nov 47; 17 Apr 49
Te Ihooteata		Arrowsmith’s 1850 map shows this on the east bank of the Waimana River, Bay of Plenty	17 Jan 44
Ihuraua		Ihuraua Stream flows past Alfredton, 16 miles by road east of Ekatahuna	Although mentioned on 24 March 1846, Colenso never visited the village
Ikaarangitauira	Sides of R. Tutaekuri	Te Ikaarangitauira is placed by Colenso (Trans. N.Z. Inst. 11: p.85-6 1879) on the banks of the Waitio River which now joins the Ngaruroro (not the Tutaekuri) at Ohiti by Runanga Lake	
Iringataha		Arrowsmith’s 1850 map and Bagnall & Petersen (p. 66) show Iringataha on the north bank of the Waikaretaheke River	18 Dec 43
Te Kahakaha		Colenso gives the position as 3 miles NNE of Toreatai. Arrowsmith’s 1850 map shows it west of the northern end of the Maungapohatu ridge and upstream of the Waikare crossing. This suggests that it was not far from modern Pinaki	12 Jan 44
Kahumingi		Kahumingi is marked on the Masterton – Castlepoint Road several miles east of Tauweru, Kaumingi Stream, with its tributary of Biscuit Creek, flows into the Tauweru River	30-31 Oct, 24 Nov 45
Kahuraanake	The hill, H. Bay; Kauranaki, near Bare Island	Kahuranaki (2119 feet alt.) is between the Maraetotara and the east bank of the Tukituki. Also spelt Kauranaki	29-30 Dec 51
Kahuwera stream		Not located. The main streams between Whareora and the Ngunguru River are the Taheke and Waitangi	4-5 Oct 41
Kaihoata stream		Kaiwhata Stream north of Flat Point, Wairarapa coast (Bagnall & Petersen, p.213). 15 Mar 45; 4-7 Sep 46; 27 Apr 49 (as Taihoata); 10 Apr 51. Kaikohi. Modern Kaikohe, west of Bay of Islands	8-9 Jan 36
Te Kaikokirikiri village	head of Wairarapa valley	Bagnall & Petersen (p. 218) place this on the present site of Masterton	5-9 Apr, 31 Oct-4 Nov 45; 20-24 Mar, 19-23 Sep 46; 8-12 Apr, 13-15 Nov 47; 12-18 Apr, 17-20 Nov 48; 22-27 Mar 49; 27-31 Mar, 1 Apr 50; 30 Apr, 1-12 May 51; 25-30 Mar 52
Kaikoura Stream	near the Rotoatara Lake	Buchanan (p. 139) so names a stream two miles north of Otane. He also notes Kaikora as the original name for Otane	15-16 Dec 48
Kaiku	Cape Kidnapper		Not located but occurs in the list of July 1848
Kaimatangi	30 miles SW. from Ahuriri, inland	A trig point in the Ahimanawa Range near Tarawera might be intended if the direction is an error for NW.	The name occurs in the list for July 1846
Kainganui		A hill described as on the north bank of the Waikaretaheke River, two miles from Iringataha and two miles from Herepunga. This appears to be the trig east of the McLean’s Road – Titirangi Road junction	18 Dec 43
Kaipara (harbour)		On the west coast north of Auckland	5 Feb 42; 7-10 Feb 44
Kaipatiki	A small village about two miles distant from Paihia	Kaipatiki Creek drains into the south arm of Waitangi Inlet	22 Oct, 10 Dec 37; 1 Nov, 6 Dec 40; 15 Feb 41; 9, 25 Apr 55
Kairakau On the coast	26 miles south of Cape Kidnappers, formerly Manawarakau (q.v.) Colenso uses both names		
Kaitaia		(Mission Station) Modern Kaitaia	26-28 Mar, 4-8 Apr 39
Kaitara	(forest)Known to the early settlers as Morrison’s Bush (Bagnall & Petersen p.267n)	The present locality of Morrison’s Bush is three miles south of Greytown The forest bordered the Ruamahanga River between here and Martinborough (Huaangarua)	
Kaiwa	Wangarei	Not located	mentioned in the list of 19 November 1844
Kaiwaka river		A tributary of the Waiohingaanga (Esk) River, Hawke’s Bay	22-23, 30 Apr, 1 May 46; 23-24 Jan 49; 3-4, 10-11 Oct 50
Kaiẁaraẁara		At the southern end of the western shore of Wellington Harbour. Reclamation has radically altered the shoreline in this area. This was the starting point of the track over the hills to the villages on Cook Strait, but Colenso would have passed it going to and from Wellington	5? May 48; 7 Apr 49
Kaokaoroa (Te Kaokaoroa)	plains, Kaokaoroa	The Kaokaoroa Range is west of the Tukituki River, opposite Opapa	The name occurs in a list of 31 January 1853
Te Kapa		Buchanan cites two localities of this name, one near Lake Roto-o-kiwa, the other near the Tukituki River on the other side of the Kaokaoroa Range. Colenso on one occasion associates the name with Kaokaoroa, so presumbably the second of Buchanan’s places is intended	8-9 Mar 49
Te Kape	¼ of a mile from Mangatepa (Ruatahuna)	Best shows it on the east bank of the Whakatane River at the junction with the Mangaorongo Stream. Arrowsmith’s 1850 map shows it further downstream	
Te Kapemaehe (Te Kapemaihi)		Probably renamed Petani (Bethany) at about Christmas 1848. The Journal first mentions Petani in January 1849	17-18 Jan, 16-18 Jun 45; 21-22 Apr, 3-4, 8-10 Jun, 21-25 Nov 46; 12-15 Jun, 27-28 Aug, 1 Sep 47; 22-23 Feb, 9-10, 14-15 Aug, 13-14 Oct, 16-17 Oct 48
Te Karaka		Possibly Waikaraka (q.v.)	17 Feb 42
Kareka Lake		Lake Okareka, Rotorua	7 Jan 42
Kariawa		A pa in the vicinity of Porangahau	7-10 Mar 45
Te Kauika (Kawaka)	Up river from Pihoi, Whangarei, but not located		30 Sep, 1 Oct 41
Kaukopakopa		Kaukapakapa, at the southern end of Kaipara Harbour	8-12 Feb 42; 8-9 Feb 44
Kaupekahinga	A native village on the banks of the Ruamahanga river	Not located but presumably between Greytown and Martinborough	19 Apr 49
Kaurinui		Kaurinui Creek flows into the Bay of Islands near the south head land of Waikare Inlet	24 Jan, 25 Sep, 20 Nov 36
Te Kawakawa	Bay of Islands	Modern Kawakawa, on the river of the same name, which rises near Kaikohe and flows into the southern end of the Bay of Islands Colenso made visits at two-weekly intervals for nearly the whole of his residence in the Bay	
Te Kawakawa	East Cape	Modern Te Araroa	[16? Jan 38]; 23-25 Nov 41; 19-21, 23-25 Oct 43
Kawatau River	interior	Kawhatau River, a tributary of the Rangitaiki entering north of Mangaweka	The river is mentioned in the list of June 1850 and would have been crossed in November 1849
Kaweka Mt	½ way between H. Bay and Taupo (brought me by one of our surveyors)	The Kaweka Range, at the head of the Tutaekuri River	
Kereru (Kerera) lake		Lake Tauanui, about eight miles SSE of Kaikohe. So identified by Bagnall & Petersen and Colenso’s route leaves no doubt of the correctness of this conclusion	5 Jun 36
Kerikeri		The locality on Kerikeri Inlet, Bay of Islands	15 Jan, 2 May 35; 20-22 Apr,?-4 Nov 37; 22-24 Aug 38; 11-12 Apr 39
Kerikeri waterfall	Bay of Islands		
Kerikeri Falls	on the River to the north of the town of Kerikeri		
Te Koau		A watering place on the coast south of Castle Point. This is possibly the Ngakauau Stream	14 Mar 45
Kohinurakau		Bagnall & Petersen (p. 206) show this village on the west bank of the Tukituki River, southwest from Pakipaki	12-20 Sep, 18-20 Oct 45; 27-28 Jan, 23-24 Jun, 6-7 Oct 46; 6-8 Jan, 9-10 Sep, 29-30 Nov 47; 21-22 Sep 48; 1-4 Jun, 22-25 Oct 49; 9-11 Jul, 15-16 Nov 50; 27-28 May, 8-9 Aug, 30-31 Dec 51; 19-20 Jan, 21-22 Jul,18-20 Aug 52
Kohumaru		On a stream of the same name, a tributary of the Oruaiti River which flows into Mangonui Harbour	9 Apr 39
Te Kohurau		Colenso’s description suggests Kuripapango, 4100 feet alt., between the Ngaruroro and the headwaters of the Tutaekuri Rivers. This is also borne out by Buchanan (p. 142)	16 Feb 52
Kopau River	the upper part of the Kawakawa	Possibly the Pokapu Stream, a southern tributary of the Kawakawa catchment	1-2 Jun 36
Te Kopi		On the east side of Palliser Bay, just north of the mouth of the Putangirua Stream	20-24 Mar, 2-3 Apr, 6-10 Nov, 18-21 Nov 45; 2-4 Mar, 13-17 Mar, 11-16 Sep 46; 15-19 Mar, 30 Apr-4 May, 22-26 Oct 47; 27 Apr-1 May, 19-24 May, 9-13 Nov 48; 30 Mar-2 Apr 49; 17-19 Apr 51; 6 Apr 52
Korohe		At the southeast corner of Lake Taupo. It is possibly the same as Waimarino of the 1847 visit	1-3 Dec 49
Kororareka		Modern Russell, Bay of Islands Visits at approximately monthly intervals were made for most of Colenso’s residence in the Bay	
Kotere (Kotore)	Distant about 4 Miles from Kawakawa but not located		15 Sep, 13 Oct 39
Te Kotipu Wood		Reached an hour after leaving the head of the Mohaka River (Taharua River) This suggests that the wood was at the base of Te Iringa (4073 feet alt.) in State Forest 90	
Te Kotukutuku		Not located. Colenso describes it as being at the head of the Wairarapa valley and on the edge of the river, and entrance to the long forest. Assuming the river to be the Ruamahanga, the vicinity would appear to be Mt Bruce, north of Masterton	12-13 May 51
Kowhaia River	dense forest near Manawatu	Not located	The name appears in the list of June 1850
Te Kupenga		Bagnall & Petersen (p. 175 & 66) place Te Kupenga on the Rangitaiki River upstream from Te Rekemanuka, but Arrowsmith’s 1850 map shows it slightly downstream	23 Jan 44
Kuraẁaẁanui	Mr Barton’s sheep station	The Whawhanui River reaches the sea at White Rock, Wairarapa coast	19 Mar 45; 2 Mar 46; 5 May 47; 21 Oct 47
Kuripapango		On the Ngaruroro River, where the Napier – Taihape Road crosses	16 Oct 51
Makakahi River		An eastern branch of the Mangatainoka River, the junction a short distance south of Pahiatua	15-16 Nov 47; 21-22 Mar 48; 25 Mar 52
Makaroro River		One of the headwaters of the Tukituki, rising in the Ruahine Mountains and joining the Waipawa River	26-27 Feb 47; 11-13 Jan, 14 Dec 48; 28-29 Oct 51; 26-27 Feb 52
Maketu		At Town Point, Bay of Plenty	24 Jan 44
Manawarakau		Kairakau, on the coast 26 miles south of Cape Kidnappers. Colenso uses both names	7 Dec 43; 4-5 Mar, 2-3 Nov 45; 20-21 Aug 46; 14-15 Jan, 26-27 May, 2-4 Oct 47; 14-15 Jun, 26-27 Oct 48; 8-10 May 49; 4-5 Mar, 27-28 Nov 50; 25-26 Mar 51; 1-4 May 52
Manawatu		For the present purposes, this district is treated as being between the Te Whiti clearing in the north and the tributaries of the Manawatu River in the southern Hawke’s Bay	24 Mar-6 Apr, 23 Sep-2 Oct 46; 27 Mar-6 Apr, 15-23 Nov 47; 29 Mar-11 Apr, 21-27 Nov 48; 13-21 Mar 49; 3-11 Apr 50; 12-23 May 51; 17-25 Mar 52
Manawatu River (District)	The main river draining the eastern side of the southern Ruahine Ranges	Colenso knew this river only on its eastern reaches, as he never entered the Gorge	
Mangahane River (Mangohane River)	The Mangaohane River rises on Otupae, the northern outlier of the Ruahine Ranges, and enters the Rangitikei River		17 Oct 51; 18 Feb 52
Manga-a-noka River		Possibly the Mangaone River which flows north from headwaters east of Ekatahuna	27 Mar 46
Mangamako	a little wood near the Rangitaiki River	Not otherwise identifiable	6 Jan 42
Mangamauka	a small rivulet	Mangamauku Stream is a tributary of the Waikaretaheke River, entering it on the north side near Rosskeen	19 Dec 43
Mangaonuku River		On the edge of Ruataniwha (Takapau) plains. The river flows south to join the Waipawa River to the west of the town of Waipawa	5-7 Feb 45; 29 Dec 47
Mangare	Wangarei	A Mangere Stream joins the Wairua River near Kokopu west of Whangarei: Colenso’s village was probably on this stream	25 Feb 36
Mangarewa River		Rises on the Mamaku Range and flows northeast to join the Kaituna in the Bay of Plenty	13 Jan 42
Mangaotai River		Not located	
Te Mangaroa River		The Mangaroa River which flows north through Whitemans Valley to join the Hutt River at Te Marua north of Upper Hutt	4-5 Nov 47
Mangatainoka River		Rises in the Tararua Ranges near Ekatahuna and flows north past Pahiatua to join the Manawatu near the Gorge	30 Mar 46; 16-17 May 51
Mangataẁainui River		This is a northern tributary of the Manawatu between Norsewood and Matamau	6 Apr 46; 10-11 Apr 50
Mangataẁiri		The Mangatawhiri Stream joins the Waikato River above Mercer	31 Jan-1 Feb 44
Mangatété		Probably Mangatoetoe, near Kaiaka	8 Apr 39
